order,happiness,comment
1,2,"The education , clubs, and career oppurtunities are about the only thing great. The campus is small and social life is lacking,greek life is being very ruthlessly attacked. Athletics here are pretty good for D3. If you are looking for a great education more so then the whole college experience RPI is a great fit."
2,4,"A lot of people complain about RPI, and yes it has issues (namely the facilities, cost, and president). However, I am so incredibly glad I came to RPI! It is such a good fit for me and frankly, I am thriving. I feel very confident about my studies and future job opportunities. It is definitely not for everyone, though."
3,3,RPI is a great research school. Most of my professors have been top notch. A lot of great research projects to hop on. There is rampant discrimination against women and people of color. Political views are very conservative. I didn't realize until I took classes elsewhere just how bad the discrimination (and violence) against women really is.
4,3,Be prepared to work- get a cool degree :)
5,4,Excellent choice for a STEM degree.
6,3,Intense school. Well known for engineers and architects. Physics major is very very hard.
7,3,Probably one of the most well reknown engineering schools in the nation. You will be worked extremely hard here. Overall a pretty good experience
8,5,It is a good school
9,5,love it here
10,3,"RPI is the top engineering school in the U.S. It is hard. Every class is a challenge, every class is a culling class. You WILL earn your degree, and the world will look up to you for it. The faculty is amazing. Tofu Tim the chef is a universal constant and center. The school is old, you will notice. Study or die. You will feel like dying. But live."
11,5,"Very good courses, top-notch undergrad education. A lot of research opportunities"
12,3,"Nice school, really love this place!"
13,5,"I've had a great time and learned a lot at RPI. The administration is totalitarian, but besides that the education is great and the students are some of the smartest you'll ever meet. There are a lot of clubs and Troy is a really nice city in my opinion. Professors really care and companies go crazy for RPI grads, even if they had low gpas."
14,1,"Is RPI known for its reputation? Yes. Will you have to work for that reputation? Yes. Is it going to be hard? Yes. Does the school make questionable budget choices? I don't know, and I'm not really sure if I want to know. If you're looking for a good degree, then do consider RPI, you'll learn a lot, and you won't regret it (most nights)."
15,3,"RPI is HARD. We have a great reputation and alot of companies want our graduates. That being said RPI makes us work for that reputation. Every class is hard, and every night is a late night. Some weekends are fun, others are lame. Social scene fluctuates with exam schedules. Sometimes you can feel the stress on campus. Still a great school though."
16,5,People give the RPI campus flack because of the questionable budgeting done by the administration but I have really enjoyed my time here. Classes have been challenging but informative with some really awesome professors! Clubs really make the semester less stressful and give you tons of opportunities to meet people. (I highly recommend trying HvZ!)
17,5,"A lot of people like to complain about RPI due to the difficulty of the courses, but I really enjoy it here. The campus is nice and the people here are ... interesting."
18,5,"I was accepted to Yale, Brown, Dartmouth, and Carnegie Mellon for Engineering and after all the time I've spent at RPI already I know without a doubt I made the right choice. The rigor is tough and you will only get through each course if you genuinely know your stuff. Grades are not inflated and might even be deflated but in the end all is even."
19,1,"If you are thinking of going here it better be because this was by far the best school you got into, otherwise go somewhere else. You will have 4 miserable years with just a few bright spots of some good times. If you have other options of similar prestige go there. There is a lot of things wrong with this place and not a lot of redeeming factors"
20,4,"All around, I love it! However, internet in most freshman dorms is awful and the school is very expensive."
21,3,"This school is good, up to you to choose."
22,3,"You are here for your education and although their are plenty of clubs to join, most of them will still leave you stuck on the boring area or in the boring area of Troy."
23,4,"The internet is fantastic over breaks due to the lower number of people but during the year it tends to cut out for a little while at least once a week. The facilities are all old. If you are looking for parties, don't go here, but if you join the right clubs, you will never want for social activities. If you're a nerd/geek, you'll probably fit it"
24,4,Great school with first class facilities and a lot of fun.
25,4,This is really a great school for engineers
26,4,"Some issues with college administration, food and grade deflation, but still definitely worth it"
27,1,"Girls that are 5's think they're 8's, parties are whack with drinks that are watered down af. Better off partying at Albany or going upstate to the other state schools."
28,1,I have a respectable GPA and am involved with many clubs on campus and am disappointed with the few internship and job opportunities I have received given what I was told during the admissions process. Do not expect to have much of a social life at RPI and expect late nights. Classrooms are old and outdated and make taking exams difficult.
29,3,"RPI definitely isn't like your typical college; it's heavy on the academics and pretty sparse on the social scene. That being said, the school is really well respected by employers and you can certainly find things to do on the weekends, you just have to put yourself out there. Overall, it's a great school if you don't mind working hard."
30,2,"RPI is a good school strictly for academics, although the professors can have strong accents and be hard to understand. RPI is expensive and doesn't have a strong social scene. Students tend to be very introverted. There is almost no school pride and many students enroll after they don't get into their first choice. I have since transferred."
31,3,Challenging classes with nothing to offer in your downtime. Town is below average and food is sub-par. No reason to fail since all there is to do is study.
32,5,Opportunities are golden. Change the world
33,5,"I love the nerdy vibe at RPI, and how people of very different backgrounds and interests can explore their passions and find new opportunities here. There's a Humans vs. Zombies club, and hiking in the ADKs with Outing Club is a ton of fun. There are also tons of club sports--I tried racquetball for the first time here and love the team!"
34,4,Amazing!
35,4,"Overall, great school. Teachers are a hit or miss."
36,4,Great University that offers many opportunities
37,3,"RPI is a great school for academics, so many opportunities available, you just have to find them. They provide great resources to help especially in freshmen year with mentor programs for certain classes. Just ask around for recommendations for things like professors, dorms, textbooks, food, etc., people generally want to help you succeed."
38,5,"Amazing professors and courses. Extremely rigorous yet rewarding. RPI challenges even the best students and I am so glad I decided to come here. The Student Body (centered around the Union, Greek Life, and D1 hockey) is very connected and uniquely student-run. There are insane amounts of opportunities to get involved on campus and everyone does...."
39,2,RPI is only worth it if you're an engineering or science major. All other majors are neglected and the facilities are absolutely horrendous. You can get a better experience for much less somewhere else.
40,5,"A nerdy vibe that I like a lot, people are pretty friendly, sometimes there aren't many social activities besides partying"
41,3,"Beautiful but VERY hilly campus. High reputation and a lot to live up to. Small cla sizes. Heavy but satisfying workload. Difficult courses but the weekends make up for it. Social scene is relatively small for school size, but it is there and it is FUN. A LOT of outreach and help in every class and every major."
